Titulos,URL,HUBsci,Categoria
[HTML] Mesoporous materials for clean energy technologies,https://pubs.rsc.org/en/content/articlehtml/2014/cs/c3cs60435g,https://sci-hub.se/https://pubs.rsc.org/en/content/articlehtml/2014/cs/c3cs60435g,Ingenieria
Towards global sustainability: Education on environmentally clean energy technologies,https://www.sciencedirect.com/science/article/pii/S1364032117309929,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1364032117309929,Ingenieria
[HTML] Cost dynamics of clean energy technologies,https://link.springer.com/article/10.1007/s41471-021-00114-8,https://sci-hub.se/https://link.springer.com/article/10.1007/s41471-021-00114-8,Ingenieria
Catalysis in the development of clean energy technologies,https://www.sciencedirect.com/science/article/pii/S0920586104007692,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0920586104007692,Ingenieria
Role of critical metals in the future markets of clean energy technologies,https://www.sciencedirect.com/science/article/pii/S0960148116302816,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960148116302816,Ingenieria
[PDF] Intellectual property and access to clean energy technologies in developing countries,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=04c028d0ca7c46f8a3af350222ee5534c836a39e,https://sci-hub.se/https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=04c028d0ca7c46f8a3af350222ee5534c836a39e,Ingenieria
Technology assessment for clean energy technologies: The case of the Pacific Northwest,https://www.sciencedirect.com/science/article/pii/S0160791X09000256,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0160791X09000256,Ingenieria
On the selection of financing instruments to push the development of new technologies: Application to clean energy technologies,https://www.sciencedirect.com/science/article/pii/S0301421512000043,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421512000043,Ingenieria
Clean energy technologies and systems for a sustainable world,https://research.unipg.it/handle/11391/1054066,https://sci-hub.se/https://research.unipg.it/handle/11391/1054066,Ingenieria
Exploring rare earths supply constraints for the emerging clean energy technologies and the role of recycling,https://www.sciencedirect.com/science/article/pii/S0959652614003837,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652614003837,Ingenieria
[HTML] The effect of critical material prices on the competitiveness of clean energy technologies,https://link.springer.com/article/10.1007/s40243-019-0146-z,https://sci-hub.se/https://link.springer.com/article/10.1007/s40243-019-0146-z,Ingenieria
